Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Faroe Islands,Europe,12675,25938.811,3716,7604.625,727,15,30.697,0,0,0
Gambia,Africa,11572,478.841,450,18.621,0,347,14.359,3,0.124,0
San Marino,Europe,11464,33779.245,1099,3238.258,186,107,315.281,4,11.786,1
Gibraltar,Europe,11392,33813.185,992,2944.407,176,100,296.815,0,0,0
Grenada,Americas,10707,9515.388,1741,1547.239,280,204,181.296,3,2.666,0
Guernsey,Europe,10614,16463.982,382,592.542,50,30,46.535,0,0,0
Yemen,Eastern Mediterranean,10585,35.489,309,1.036,78,1995,6.689,8,0.027,0
Greenland,Europe,9256,16303.812,2173,3827.591,242,4,7.046,2,3.523,0
Eritrea,Africa,9160,258.289,405,11.42,45,89,2.51,4,0.113,0
Bermuda,Americas,9144,14683.731,1264,2029.772,0,110,176.642,0,0,0
Sint Maarten,Americas,8987,20957.511,1088,2537.195,189,77,179.563,2,4.664,2
Niger,Africa,8503,35.127,197,0.814,31,295,1.219,9,0.037,2
Dominica,Americas,8349,11597.283,682,947.341,93,48,66.675,1,1.389,0
Comoros,Africa,7784,895.123,69,7.935,0,159,18.284,0,0,0
Liechtenstein,Europe,7746,19991.225,516,1331.716,0,67,172.917,0,0,0
Sierra Leone,Africa,7562,94.798,180,2.256,0,125,1.567,2,0.025,0
Saint Martin,Americas,7517,19444.373,2295,5936.522,0,40,103.469,0,0,0
Guinea-Bissau,Africa,7284,370.122,386,19.614,62,153,7.774,3,0.152,0
Liberia,Africa,7208,142.516,87,1.72,0,288,5.694,1,0.02,0
Monaco,Europe,7160,18244.827,798,2033.432,119,45,114.667,1,2.548,0
Chad,Africa,6889,41.94,331,2.015,0,185,1.126,0,0,0
Saint Vincent and the Grenadines,Americas,6615,5962.683,53,47.774,11,90,81.125,5,4.507,2
Sao Tome and Principe,Africa,5785,2639.636,381,173.846,134,67,30.571,2,0.913,1
Antigua and Barbuda,Americas,5741,5862.411,527,538.145,395,121,123.559,1,1.021,0
British Virgin Islands,Americas,5602,18526.97,655,2166.22,153,47,155.439,7,23.15,0
Bonaire,Americas,5472,26163.041,850,4064.069,106,26,124.313,1,4.781,0
Turks and Caicos Islands,Americas,5271,13613.823,635,1640.064,76,32,82.649,4,10.331,2
Saint Kitts and Nevis,Americas,5141,9664.987,496,932.471,76,28,52.639,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,4118,7154.647,316,549.021,51,21,36.486,1,1.737,0
Bhutan,South-East Asia,3458,448.155,572,74.131,141,3,0.389,0,0,0
Saint Barthélemy,Americas,2952,29863.429,502,5078.402,0,4,40.465,0,0,0
Anguilla,Americas,2187,14578.056,245,1633.116,0,7,46.66,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Saint Pierre and Miquelon,Americas,583,10060.397,198,3416.739,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,261,8314.75,43,1369.863,0,0,0,0,0,0
Palau,Western Pacific,208,1149.679,168,928.587,19,0,0,0,0,0
Saba,Americas,196,10139.679,20,1034.661,2,0,0,0,0,0
Montserrat,Americas,151,3020.604,30,600.12,3,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,86,2469.136,1,28.711,0,0,0,0,0,0
Solomon Islands,Western Pacific,81,11.792,56,8.153,48,0,0,0,0,0
Kiribati,Western Pacific,39,32.65,39,32.65,2,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Samoa,Western Pacific,12,6.048,10,5.04,10,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
